x, y, z
-4147916.719192045, 2866499.7898166217, -3893903.724093357
-4147917.129002967, 2866500.0730245556, -3893902.6764863892
-4147915.256673021, 2866499.873002974, -3893907.13309763
-4147915.5169384796, 2866500.0528646293, -3893905.94415658
-4147915.1067864904, 2866499.769420887, -3893908.4263568236
-4147914.3624039143, 2866500.3466478814, -3893908.2053818586
-4147915.6184034664, 2866499.029094929, -3893908.4263568236
-4147915.7880712287, 2866499.146347188, -3893907.151792631
-4147916.2706097555, 2866499.4798149695, -3893904.7350580883
-4147916.100163512, 2866499.3620247254, -3893906.0118324696
-4147917.736895243, 2866499.4014726956, -3893902.7684657113
-4147917.2364862473, 2866499.0556553057, -3893903.730449653
-4147916.9694955214, 2866498.87114616, -3893904.9130344186
-4147918.433860736, 2866499.8831242844, -3893900.5543846656
-4147919.0058773085, 2866500.278427487, -3893899.6600763123
-4147918.475922896, 2866501.0038401806, -3893899.6417552405
-4147919.269237227, 2866499.368779534, -3893900.861356165
-4147918.697220407, 2866498.973476312, -3893901.755664468
-4147917.70788787, 2866498.2897790386, -3893903.693433576
-4147918.279904975, 2866498.6850824584, -3893902.799125485
-4147917.0105808494, 2866497.8078916143, -3893907.342107744
-4147917.5777831925, 2866498.1998676998, -3893905.005387683
-4147915.019495526, 2866498.6152077653, -3893909.2981974157
-4147916.906191032, 2866497.7357510235, -3893908.678365499
-4147914.0752479285, 2866500.1482029133, -3893909.3718557544
-4147913.694980089, 2866498.793763811, -3893911.3997671343
-4147912.950597784, 2866499.370990621, -3893911.1787920166
-4147912.998991409, 2866500.496081402, -3893910.272145793
-4147915.230630962, 2866497.6694699135, -3893910.450122327
-4147917.6325766933, 2866497.143844966, -3893907.446425851
-4147917.4241376356, 2866496.999799202, -3893908.6843479006
-4147916.8378894143, 2866496.5946612507, -3893909.568153358
-4147918.2061091294, 2866497.5401954325, -3893905.1156881396
-4147918.8306886, 2866497.9718229207, -3893902.836141554
-4147918.4794299435, 2866497.729078965, -3893903.9390857243
-4147919.2480040886, 2866498.2602167036, -3893901.792680528
-4147919.4449105314, 2866497.3046451695, -3893902.9341032705
-4147920.440968687, 2866497.992989786, -3893901.0026901797
-4147919.8200209835, 2866498.655519827, -3893900.898372216
-4147919.8689517067, 2866497.597686754, -3893901.8969985154
-4147919.184645486, 2866497.1247841427, -3893904.12304441
-4147918.6696657846, 2866496.7688977886, -3893906.5091193896
-4147918.950559906, 2866494.7774794805, -3893908.678365499
-4147916.7992565283, 2866494.3846699903, -3893911.43640937
-4147915.7848465024, 2866495.866935976, -3893911.442765677
-4147918.377367076, 2866494.3813641574, -3893909.574509661
-4147914.736550749, 2866497.3280261513, -3893911.418088252
-4147915.464852938, 2866495.6457983544, -3893912.5782057806
-4147915.9884763816, 2866494.91601171, -3893912.5905444953
-4147914.6739259427, 2866496.1931013106, -3893912.3142320593
-4147917.9646560694, 2866493.0045064464, -3893911.5717613036
-4147918.393458634, 2866493.3008381394, -3893910.5421017963
-4147916.6612500446, 2866494.289298065, -3893912.7438436816
-4147917.2053072364, 2866493.5713909036, -3893912.774503519
-4147919.4219607646, 2866494.0116029587, -3893908.641349388
-4147918.9330358915, 2866493.6737226676, -3893909.6171342838
-4147919.773220409, 2866494.2543472275, -3893907.5384052577
-4147919.7668216666, 2866496.435460596, -3893904.190720268
-4147920.450802461, 2866494.7226024405, -3893905.3060031654
-4147920.789005903, 2866494.9563239873, -3893904.190720268
-4147920.603585635, 2866495.9198329533, -3893903.0630986616
-4147921.370786099, 2866494.266726712, -3893904.2580222264
-4147920.686874343, 2866493.7940974236, -3893906.4844419933
-4147919.9910807637, 2866493.313256991, -3893908.6966866045
-4147918.9170816718, 2866492.5710509643, -3893910.554440506
-4147918.4815534367, 2866492.2700714916, -3893911.5777437096
-4147917.800538325, 2866492.89108994, -3893912.854518216
-4147917.228519384, 2866492.495786005, -3893913.748825665
-4147916.0892312606, 2866493.8939939374, -3893913.638151105
-4147916.633288378, 2866493.176086875, -3893913.668810949
-4147915.416457691, 2866494.5207074964, -3893913.4848518833
-4147915.753583047, 2866494.753684278, -3893915.238382787
-4147916.2186539583, 2866493.983433879, -3893915.1953842156
-4147916.7824922963, 2866493.279196955, -3893915.2447390975
-4147917.5698130573, 2866491.6399972113, -3893915.0237638284
-4147918.141832256, 2866492.035301174, -3893914.129456415
-4147918.571030914, 2866492.3319064807, -3893913.1001708144
-4147917.202066144, 2866492.47750502, -3893915.158741954
-4147918.993169074, 2866491.5297449315, -3893911.5777437096
-4147919.9653757545, 2866491.1099592675, -3893910.5791179244
-4147920.465786375, 2866491.455776595, -3893909.6171342838
-4147921.383909284, 2866492.0902611506, -3893907.612063563
-4147921.038979493, 2866491.851891513, -3893908.720990111
-4147921.0069437027, 2866489.644219336, -3893910.597439038
-4147921.48163884, 2866489.9722652882, -3893909.6111518806
-4147920.579255105, 2866490.442545219, -3893912.1116734357
-4147919.8803707645, 2866491.051215114, -3893911.9336968604
-4147919.082646562, 2866491.591579905, -3893913.1001708144
-4147918.081428582, 2866490.899670814, -3893915.0237638284
-4147918.6534478515, 2866491.2949746745, -3893914.129456415
-4147916.86901617, 2866492.2473448697, -3893916.281843369
-4147917.9952480993, 2866490.840114293, -3893916.3801792553
-4147917.483632585, 2866491.5804406754, -3893916.3801792553
-4147916.4431123636, 2866493.044662284, -3893916.3618581207
-4147915.949030922, 2866492.703218324, -3893917.3298238465
-4147917.9662366104, 2866489.7284199344, -3893917.305146394
-4147918.806028378, 2866490.308772414, -3893915.2260440663
-4147918.4797038846, 2866490.083260285, -3893916.3555018087
-4147919.703592922, 2866490.929049759, -3893913.204489041
-4147919.378047748, 2866490.7040761933, -3893914.331736606
-4147920.447974038, 2866490.351821224, -3893913.4254642096
-4147921.097596036, 2866489.7068661354, -3893912.118029742
-4147920.0512163825, 2866490.077635158, -3893914.4854097283
-4147920.985304931, 2866489.629265504, -3893913.449767739
-4147919.47919692, 2866489.682331465, -3893915.3797172233
-4147918.925388342, 2866489.299612711, -3893916.294182092
-4147917.2813375155, 2866485.977932878, -3893920.951886761
-4147918.923536057, 2866488.2044459097, -3893917.243826663
-4147914.7684819303, 2866488.6102014366, -3893921.945991926
-4147914.395854913, 2866492.7237549894, -3893919.218236467
-4147914.9592886544, 2866494.2047722833, -3893917.3604837116
-4147915.91171525, 2866493.7713182247, -3893916.343163085
-4147915.3105496992, 2866494.447517798, -3893916.2575398223
-4147914.8324231035, 2866495.2087457236, -3893916.288199681
-4147914.2861194937, 2866494.831212254, -3893917.2068104837
-4147913.947913909, 2866494.5974888704, -3893918.3220930425
-4147913.4269422116, 2866494.237461499, -3893919.267591395
-4147912.2367607886, 2866491.2316731843, -3893922.920313391
-4147915.5704308487, 2866484.795582885, -3893923.64262523
-4147910.596351093, 2866489.0041516456, -3893926.142908029
-4147913.072293597, 2866485.254732915, -3893926.069249409
-4147911.099050065, 2866490.4454372115, -3893924.7149086543
-4147913.9340338907, 2866484.7563676396, -3893925.4513952797
-4147910.742781534, 2866493.4764083778, -3893922.9569557197
-4147912.8892149203, 2866494.959742442, -3893919.242913931
-4147910.765462709, 2866494.583728359, -3893922.026006788
-4147913.3650854323, 2866495.2886019093, -3893918.2547908835
-4147914.268584447, 2866495.912982276, -3893916.238844787
-4147913.852441173, 2866495.625398465, -3893917.280468941
